TaskID,ClientID,Duration,Skills,Deadline
TSK001,CLI001,120,React|Node.js|PostgreSQL,2025-02-15
TSK002,CLI001,80,TypeScript|Express|Redis,2025-02-28
TSK003,CLI002,160,Python|Django|PostgreSQL,2025-03-10
TSK004,CLI002,40,HIPAA|Security|Encryption,2025-01-30
TSK005,CLI003,100,Vue.js|Node.js|MySQL,2025-02-20
TSK006,CLI003,60,Data Visualization|Charts,2025-02-05
TSK007,CLI004,200,React|Video Streaming|WebRTC,2025-03-15
TSK008,CLI004,90,AWS|CDN|S3,2025-02-25
TSK009,CLI005,180,C#|.NET|SQL Server,2025-03-20
TSK010,CLI005,120,Security|Encryption|OAuth,2025-03-05
TSK011,CLI006,150,PHP|Laravel|MySQL,2025-02-18
TSK012,CLI006,70,Inventory|Barcode|RFID,2025-02-08
TSK013,CLI007,220,Java|Spring Boot|Microservices,2025-04-01
TSK014,CLI007,110,IoT|Automotive|CAN Bus,2025-03-12
TSK015,CLI008,130,React Native|GPS|Maps,2025-02-22
TSK016,CLI008,85,Real-time|Socket.io|Push Notifications,2025-02-12
TSK017,CLI009,140,Angular|.NET|SQL Server,2025-03-08
TSK018,CLI009,95,CRM|Property|Real Estate,2025-02-28
TSK019,CLI010,160,React|Social Media|Chat,2025-03-18
TSK020,CLI010,75,Sports API|Data Analytics,2025-02-15
TSK021,CLI001,60,Testing|QA|Automation,2025-02-10
TSK022,CLI002,90,Mobile|iOS|Swift,2025-03-01
TSK023,CLI003,110,Android|Kotlin|Mobile,2025-02-25
TSK024,CLI004,80,DevOps|CI/CD|Docker,2025-02-20
TSK025,CLI005,70,UI/UX|Design|Figma,2025-02-14
